task,estimator,in_distribution,test_accuracy,test_accuracy_clopper_pearson_95%_interval
ICU Hospital Mortality,DANN,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,Group DRO,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,IRM,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,MMD,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,MixUp,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,VREX,True,0.9134831460674158,"(0.8930541510268734, 0.931120830885726)"
ICU Length of Stay,Adv. Label DRO,True,0.6018518518518519,"(0.5719491335546075, 0.6311980192997668)"
ICU Length of Stay,CatBoost,True,0.7101851851851851,"(0.6821179388940837, 0.7371020803852517)"
ICU Length of Stay,DRO,True,0.600925925925926,"(0.5710143310203735, 0.6302860339002403)"
ICU Length of Stay,FT-Transformer,True,,
ICU Length of Stay,Label Group DRO,True,0.5898148148148148,"(0.5598051306310411, 0.6193337697586222)"
ICU Length of Stay,LightGBM,True,0.6888888888888889,"(0.6603285197413058, 0.7164159125540879)"
ICU Length of Stay,MLP,True,0.5990740740740741,"(0.5691450513992746, 0.6284617372815253)"
ICU Length of Stay,NODE,True,0.6611111111111111,"(0.6320091252015898, 0.6893321265108201)"
ICU Length of Stay,ResNet,True,0.6055555555555555,"(0.5756894314912262, 0.634844871824752)"
ICU Length of Stay,SAINT,True,,
ICU Length of Stay,TabTransformer,True,0.6037037037037037,"(0.5738190647044281, 0.633021663638236)"
ICU Length of Stay,XGBoost,True,0.7101851851851853,"(0.6821179388940837, 0.7371020803852517)"
ICU Length of Stay,CORAL,True,0.6027777777777777,"(0.5728840447398895, 0.6321098959222997)"
ICU Length of Stay,DANN,True,0.5944444444444444,"(0.5644737450355459, 0.623899100937912)"
ICU Length of Stay,Group DRO,True,0.6018518518518519,"(0.5719491335546075, 0.6311980192997668)"
ICU Length of Stay,IRM,True,0.600925925925926,"(0.5710143310203735, 0.6302860339002403)"
ICU Length of Stay,MMD,True,0.6018518518518519,"(0.5719491335546075, 0.6311980192997668)"
ICU Length of Stay,MixUp,True,0.6018518518518519,"(0.5719491335546075, 0.6311980192997668)"
ICU Length of Stay,VREX,True,0.5972222222222222,"(0.567276204879062, 0.6266370070746969)"
Income,Adv. Label DRO,True,0.8286249493722154,"(0.8267513853512198, 0.8304737910614276)"
Income,CatBoost,True,0.831827156743621,"(0.8299737768784932, 0.833668353213284)"
Income,DRO,True,0.8279035034426894,"(0.8260332122463632, 0.8297617555539183)"
Income,FT-Transformer,True,0.8253657857432158,"(0.8234847452528092, 0.8272348804764962)"
Income,Label Group DRO,True,0.819309437019036,"(0.8174033246329298, 0.8212038263537008)"
Income,LightGBM,True,0.8216889428918591,"(0.8197925846892817, 0.8235734905471923)"
Income,MLP,True,0.8275554374240583,"(0.825683663209455, 0.8294151853545362)"
Income,NODE,True,0.8307829586877278,"(0.8289250432216366, 0.8326287291650835)"
Income,ResNet,True,0.8261758302956662,"(0.8242918499070063, 0.8280351784240145)"
Income,SAINT,True,0.8289666869177805,"(0.827100942890403, 0.8308203527581629)"
Income,TabTransformer,True,0.8183791514783313,"(0.8164692590409942, 0.8202773550699946)"
Income,XGBoost,True,0.8212965775617659,"(0.8193986024403005, 0.8231827565638374)"
Income,CORAL,True,0.8170565006075334,"(0.8151412658331133, 0.8189600951676691)"
Income,DANN,True,0.8153731267719725,"(0.8134511465835468, 0.8172835286384442)"
Income,Group DRO,True,0.827428867962738,"(0.8255565551558716, 0.8292891591403443)"
Income,IRM,True,0.7563221445929527,"(0.7541975908432161, 0.7584372899446807)"
Income,MMD,True,0.8160249594977724,"(0.8141055841257385, 0.8179327325823113)"
Income,MixUp,True,0.8211573511543135,"(0.8192588030991086, 0.8230441082096526)"
Income,VREX,True,0.7138264479546375,"(0.7115845523799555, 0.716047839015932)"
Unemployment,Adv. Label DRO,True,0.9720943203296872,"(0.971272799387796, 0.9728864255727752)"
Unemployment,CatBoost,True,0.9734081120441236,"(0.9726114640777684, 0.9741876889188434)"
Unemployment,DRO,True,0.9727016391410775,"(0.9718886497457703, 0.9734851900120843)"
Unemployment,FT-Transformer,True,0.9727945961020048,"(0.97198920652279, 0.9735829376885656)"
Unemployment,Label Group DRO,True,0.9468658011340748,"(0.9457539944265603, 0.9479491234836556)"
Unemployment,LightGBM,True,0.973242941112834,"(0.972441746695118, 0.9740227675454867)"
Unemployment,MLP,True,0.9726954420103492,"(0.9718886497457703, 0.9734851900120843)"
Unemployment,NODE,True,0.9729619186316736,"(0.9721589024061196, 0.9737478805684285)"
Unemployment,ResNet,True,0.9715489728255816,"(0.9707198767635301, 0.9723486736575442)"
Unemployment,SAINT,True,0.9729867071545876,"(0.9721840432157421, 0.9737723158716464)"
Unemployment,TabTransformer,True,0.9720137576302172,"(0.971197396120768, 0.9728131004950178)"
Unemployment,XGBoost,True,0.9725776965265084,"(0.971769242169513, 0.9733691110486256)"
Unemployment,CORAL,True,0.9639326991602888,"(0.9630114728591654, 0.9648372079607985)"
Unemployment,DANN,True,0.966176060483996,"(0.9652825140490996, 0.967052806213425)"
Unemployment,Group DRO,True,0.9711709478511448,"(0.9703366472865808, 0.9719758673594839)"
Unemployment,IRM,True,0.966176060483996,"(0.9652825140490996, 0.967052806213425)"
Unemployment,MMD,True,0.9664859170204196,"(0.9655962732652459, 0.9673587485571553)"
Unemployment,MixUp,True,0.8438075171195737,"(0.8420269321244064, 0.8455757402839391)"
Unemployment,VREX,True,0.8726551606606141,"(0.8710188601777218, 0.8742780593185779)"
Childhood Lead,Adv. Label DRO,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,CatBoost,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,DRO,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,FT-Transformer,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,Label Group DRO,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,LightGBM,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,MLP,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,NODE,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,ResNet,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,SAINT,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,TabTransformer,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,XGBoost,True,0.9708672086720868,"(0.9609573907611237, 0.9788379537330297)"
Childhood Lead,CORAL,True,,
Childhood Lead,DANN,True,,
Childhood Lead,Group DRO,True,,
Childhood Lead,IRM,True,,
Childhood Lead,MMD,True,,
Childhood Lead,MixUp,True,,
Childhood Lead,VREX,True,,
FICO HELOC,Adv. Label DRO,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,CatBoost,True,0.7266187050359713,"(0.6701913256850439, 0.7781425635388917)"
FICO HELOC,DRO,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,FT-Transformer,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,Label Group DRO,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,LightGBM,True,0.6470588235294118,"(0.584496197399788, 0.7001692124768734)"
FICO HELOC,MLP,True,0.7338129496402878,"(0.677741305805857, 0.78482363124751)"
FICO HELOC,NODE,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,ResNet,True,0.7482014388489209,"(0.6928936893865271, 0.7981326827637049)"
FICO HELOC,SAINT,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,TabTransformer,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,XGBoost,True,0.7446043165467626,"(0.6890988965530889, 0.7948122045769332)"
FICO HELOC,CORAL,True,,
FICO HELOC,DANN,True,,
FICO HELOC,Group DRO,True,,
FICO HELOC,IRM,True,,
FICO HELOC,MMD,True,,
FICO HELOC,MixUp,True,,
FICO HELOC,VREX,True,,
Hypertension,Adv. Label DRO,True,0.6659027058997486,"(0.6602459351052542, 0.6715238239082224)"
Hypertension,CatBoost,True,0.6704125388141358,"(0.6647744735630384, 0.676013981564858)"
Hypertension,DRO,True,0.5980334171225787,"(0.5921620606262106, 0.6038837095280796)"
Hypertension,FT-Transformer,True,0.6661614668046725,"(0.6605057536106009, 0.6717814715746804)"
Hypertension,Label Group DRO,True,0.6649046281236137,"(0.6592437958072965, 0.6705300222563211)"
Hypertension,LightGBM,True,0.6776344086021505,"(0.6720139250889634, 0.6831896589701418)"
Hypertension,MLP,True,0.6641283454088422,"(0.658464373640268, 0.6697570459051985)"
Hypertension,NODE,True,0.6700428803785302,"(0.664403260022334, 0.6756459577209775)"
Hypertension,ResNet,True,0.6667529203016412,"(0.6610996316229474, 0.6723703733830159)"
Hypertension,SAINT,True,0.6693405293508797,"(0.6636979650794301, 0.6749467016322487)"
Hypertension,TabTransformer,True,0.6242791660505693,"(0.6184763241783235, 0.6300553031261574)"
Hypertension,XGBoost,True,0.6710779239982256,"(0.6654426678140462, 0.6766764146052684)"
Hypertension,CORAL,True,,
Hypertension,DANN,True,,
Hypertension,Group DRO,True,,
Hypertension,IRM,True,,
Hypertension,MMD,True,,
Hypertension,MixUp,True,,
Hypertension,VREX,True,,
Public Health Ins.,Adv. Label DRO,True,,
Public Health Ins.,CatBoost,True,0.8135595927968657,"(0.812478111996727, 0.8146374446760366)"
Public Health Ins.,DRO,True,0.809068616683507,"(0.8079772647855926, 0.8101563916757529)"
Public Health Ins.,FT-Transformer,True,0.807305374394447,"(0.8062102101471588, 0.8083969821574979)"
Public Health Ins.,Label Group DRO,True,0.7762120044250792,"(0.7750550737340849, 0.7773657386870135)"
Public Health Ins.,LightGBM,True,0.8026103487387575,"(0.801503571180517, 0.8037103666526826)"
Public Health Ins.,MLP,True,0.8075010683291333,"(0.8064063254588875, 0.8085922524486804)"
Public Health Ins.,NODE,True,0.8110075841384076,"(0.8099204654771102, 0.81209110343691)"
Public Health Ins.,ResNet,True,0.8097455579473704,"(0.8086556790794868, 0.8108318520693087)"
Public Health Ins.,SAINT,True,0.8107060557288401,"(0.8096182759221924, 0.8117902396650301)"
Public Health Ins.,TabTransformer,True,0.803105942306233,"(0.802001838981812, 0.8042065377815353)"
Public Health Ins.,XGBoost,True,0.8053404475400474,"(0.8042410761948511, 0.806436285157809)"
Public Health Ins.,CORAL,True,,
Public Health Ins.,DANN,True,,
Public Health Ins.,Group DRO,True,,
Public Health Ins.,IRM,True,,
Public Health Ins.,MMD,True,,
Public Health Ins.,MixUp,True,,
Public Health Ins.,VREX,True,,
Sepsis,Adv. Label DRO,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,CatBoost,True,0.9880674041970804,"(0.9874854425992512, 0.9886290601235038)"
Sepsis,DRO,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,FT-Transformer,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
Sepsis,Label Group DRO,True,0.9880032504562044,"(0.9874197837137306, 0.9885664146365877)"
